trigger_family,high_lookback_days,holding_window_days,sample_count,avg_excess_return,hit_rate,headline_verdict
T0,60,3.0,26,0.00324695792663768,0.5769230769230769,revise
T1,60,3.0,26,0.006734822474890071,0.7692307692307693,promote
T5,60,3.0,22,-0.00019250038506005908,0.5454545454545454,revise
T0,60,4.0,26,0.005579355343102166,0.6538461538461539,revise
T1,60,4.0,26,0.010631343657749075,0.8076923076923077,promote
T5,60,4.0,22,0.003753956897681129,0.5454545454545454,revise
T0,60,5.0,26,0.006788169115232898,0.5769230769230769,revise
T1,60,5.0,26,0.008665283061540019,0.5769230769230769,promote
T5,60,5.0,22,0.008288171453747727,0.5909090909090909,promote
T0,252,3.0,22,0.003480874799940384,0.5454545454545454,promote
T1,252,3.0,21,0.006667043890909562,0.7619047619047619,revise
T5,252,3.0,20,0.00939136880052297,0.55,promote
T0,252,4.0,22,0.005003762529997831,0.6363636363636364,promote
T1,252,4.0,21,0.013964128771265268,0.8095238095238095,promote
T5,252,4.0,20,0.011826124971779867,0.55,promote
T0,252,5.0,22,0.006332134884920313,0.5909090909090909,promote
T1,252,5.0,21,0.015959100875153055,0.5238095238095238,promote
T5,252,5.0,20,0.017884869611360092,0.55,promote
