setup_code,setup_definition,trigger_code,trigger_definition,high_lookback_days,leader,laggard,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S1,same-day strict non-confirmation,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,1,22,-0.0011934658408279777,0.00044849123825663195,-0.00185735908432779,-0.0017558149525294664,-0.0006638932434998125,-0.0025511267245545977
S1,same-day strict non-confirmation,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,2,22,-0.0010561070442154476,0.0023626675493728655,-0.0019455900082179537,0.002201588833262935,-0.0008894829640025061,-0.0003185109756748683
S1,same-day strict non-confirmation,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,3,22,-0.0035763477029610276,-0.001576047954336135,-0.001225438093047527,9.596535133671313e-05,0.0023509096099135003,0.0009225151842569557
S1,same-day strict non-confirmation,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,4,22,-0.002832414634232929,-0.0012726068092218101,-0.0022815387032939353,-0.00012355967929111866,0.0005508759309389937,-0.0009895625088197635
S1,same-day strict non-confirmation,T1,relative-strength turn,60,DIA,QQQ,DIA leads / QQQ lags,5,22,-0.00045885657100739534,0.0005710346171952096,0.0024259689252342028,0.0022062336989685516,0.0028848254962415983,0.002386090627817472
S1,same-day strict non-confirmation,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,1,26,-0.0005490189773087889,0.0008903276204794697,0.000524256882581009,0.00036815183447891364,0.0010732758598897979,0.0007050760130793421
S1,same-day strict non-confirmation,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,2,26,0.004552322062431895,0.005467653666891059,0.002540307461110417,0.003593443109790595,-0.0020120146013214778,0.000535791212025849
S1,same-day strict non-confirmation,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,3,26,0.006734822474890071,0.005178569488646478,0.005706024038969133,-0.0003404891768495344,-0.0010287984359209378,-0.002758271916115329
S1,same-day strict non-confirmation,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,4,26,0.010631343657749075,0.0051482218231799215,0.00831437895463867,0.0021887718345363627,-0.0023169647031104058,-0.00231868366740684
S1,same-day strict non-confirmation,T1,relative-strength turn,60,QQQ,DIA,QQQ leads / DIA lags,5,26,0.008665283061540019,0.003972112610981293,0.009203349377408179,0.003549469853669107,0.0005380663158681601,0.0018806282918444328
S1,same-day strict non-confirmation,T1,relative-strength turn,128,DIA,QQQ,DIA leads / QQQ lags,1,22,-0.0013155764681749384,0.00044849123825663195,-0.0046764159860727935,-0.0026684088558917574,-0.0033608395178978553,-0.003994296024676713
