setup_code,setup_definition,high_lookback_days,leader,laggard,direction,setup_idx,setup_date,trigger_code,trigger_window_days,trigger_idx,trigger_date,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_1d_turn,1,831,2009-04-23,1,0.013560185150891746,0.017517558467260663,-0.003957373316368917
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_1d_turn,1,831,2009-04-23,2,0.0076586614282521115,0.01872583366324654,-0.011067172234994427
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_1d_turn,1,831,2009-04-23,3,0.005901177584095363,0.011175362938951716,-0.005274185354856353
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_1d_turn,1,831,2009-04-23,4,0.026616254126057948,0.02506829569835367,0.0015479584277042768
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_1d_turn,1,831,2009-04-23,5,0.025361086537197375,0.03533673600329612,-0.009975649466098746
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_2d_turn,2,835,2009-04-29,1,-0.001222625868055216,0.010017323087674557,-0.011239948955729773
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_2d_turn,2,835,2009-04-29,2,0.004769798585352314,0.012668824057954886,-0.007899025472602572
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_2d_turn,2,835,2009-04-29,3,0.030207443148841273,0.0327043151985591,-0.0024968720497178243
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_2d_turn,2,835,2009-04-29,4,0.02922851977304508,0.031820741531108254,-0.0025922217580631735
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_2d_turn,2,835,2009-04-29,5,0.041947240905443106,0.03211550441045863,0.009831736494984478
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_3d_turn,3,835,2009-04-29,1,-0.001222625868055216,0.010017323087674557,-0.011239948955729773
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_3d_turn,3,835,2009-04-29,2,0.004769798585352314,0.012668824057954886,-0.007899025472602572
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_3d_turn,3,835,2009-04-29,3,0.030207443148841273,0.0327043151985591,-0.0024968720497178243
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_3d_turn,3,835,2009-04-29,4,0.02922851977304508,0.031820741531108254,-0.0025922217580631735
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,827,2009-04-17,T1_3d_turn,3,835,2009-04-29,5,0.041947240905443106,0.03211550441045863,0.009831736494984478
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_1d_turn,1,1969,2013-10-29,1,-0.004024807567790112,-0.0009627254438883126,-0.0030620821239017992
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_1d_turn,1,1969,2013-10-29,2,-0.007731736721124816,-0.0032502538815750714,-0.004481482839549744
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_1d_turn,1,1969,2013-10-29,3,-0.00408981389178853,-0.0030099540296820715,-0.0010798598621064581
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_1d_turn,1,1969,2013-10-29,4,-0.0028117745025995067,-0.0015651028456914462,-0.0012466716569080605
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_1d_turn,1,1969,2013-10-29,5,-0.0038975558061407067,-0.00048161706133020843,-0.0034159387448104983
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_2d_turn,2,1969,2013-10-29,1,-0.004024807567790112,-0.0009627254438883126,-0.0030620821239017992
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_2d_turn,2,1969,2013-10-29,2,-0.007731736721124816,-0.0032502538815750714,-0.004481482839549744
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_2d_turn,2,1969,2013-10-29,3,-0.00408981389178853,-0.0030099540296820715,-0.0010798598621064581
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,1964,2013-10-22,T1_2d_turn,2,1969,2013-10-29,4,-0.0028117745025995067,-0.0015651028456914462,-0.0012466716569080605
